Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
World,WLD,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,7.579272993,7.662245788,7.784011289,7.921371254,8.077442882,8.257479376,8.448078985,8.654188218,8.875576344,9.104697573,9.330854124,9.526808074,9.738931635,9.981301095,10.20073927
Afghanistan,AFG,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,2.306614901,2.322140455,2.337911339,2.349769014,2.356535665,2.356695063,2.355497361,2.359737022,2.367120477,2.376153383,2.370733824,2.352549519,2.355142367,2.377537528,2.400970027
Africa Eastern and Southern,AFE,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,2.948241908,2.951663664,2.962178526,2.97806605,2.998143998,3.020980063,3.044976799,3.074828314,3.113922348,3.157141942,3.192169102,3.216572769,3.246111381,3.286462923,3.331142169
Africa Western and Central,AFW,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,2.953771184,2.952036693,2.948626144,2.940205521,2.924323974,2.910265408,2.903209401,2.900339854,2.902687891,2.910184961,2.916504061,2.923993205,2.939791791,2.962248384,2.987953314
Albania,ALB,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,10.92005505,11.2281831,11.50931408,11.82013518,12.16676921,12.54310654,12.92021216,13.30539111,13.73952183,14.24809866,14.76700441,15.26600507,15.77633816,16.30200007,16.9227562
Algeria,DZA,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,4.893586204,4.909491274,4.942250959,5.000122155,5.086182754,5.196735324,5.325899878,5.467242325,5.618008549,5.774977985,5.894088907,6.014041344,6.186963524,6.376858666,6.582212073
American Samoa,ASM,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,4.045918321,4.224389977,4.431169594,4.663370737,4.906856694,5.142025039,5.376642517,5.613926259,5.85069291,6.083570675,6.36536278,6.719146775,7.103627318,7.550346163,8.044477708
Andorra,AND,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,12.74378609,12.69107646,12.67863186,12.75043721,12.86057203,12.92579686,13.01787854,13.19844094,13.48620313,13.82570433,14.2168519,14.59799524,14.968948,15.41815079,15.94569031
Angola,AGO,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,2.729902457,2.728259601,2.726267063,2.719033602,2.704494436,2.691281115,2.685013948,2.685241684,2.693038712,2.707977983,2.725608767,2.744704116,2.77333856,2.811449368,2.852421192
Antigua and Barbuda,ATG,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,7.153614899,7.297409999,7.465046986,7.646668067,7.851067425,8.111040276,8.445131101,8.79869125,9.12720234,9.473148467,9.863249352,10.27894184,10.72867299,11.23875455,11.78449742
