Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
World,WLD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.68184335,70.96801349,71.26375458,71.53267021,71.77554368,71.96475451,72.1848946,72.36534478,72.64361208,72.86891031,72.18222395,71.21548417,72.96901572,73.32971628,..
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.702,61.25,61.735,62.188,62.26,62.27,62.646,62.406,62.443,62.941,61.454,60.417,65.617,66.035,..
Africa Eastern and Southern,AFE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,58.82727921,59.20000403,60.24951236,60.89573975,61.25143602,61.71303052,62.16798132,62.5912751,63.33069136,63.85726128,63.766484,62.97999919,64.48701955,65.14629086,..
Africa Western and Central,AFW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,54.60335321,54.96397349,55.29270582,55.55490741,55.69544634,56.03833565,56.39245185,56.62643881,57.03697644,57.14984676,57.3644254,57.36257169,57.98781339,58.85572155,..
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.414,78.303,78.084,77.995,78.029,78.358,78.643,78.9,79.238,79.467,77.824,76.844,78.769,79.602,..
Algeria,DZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.144,74.383,74.609,74.809,74.992,75.159,75.31,75.431,75.555,75.682,73.257,75.208,76.129,76.261,..
American Samoa,ASM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.587,72.662,72.709,72.769,72.687,72.654,72.64,72.801,72.794,72.751,72.672,72.708,72.752,72.852,..
Andorra,AND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,84.197,84.296,84.334,84.406,84.485,84.532,84.489,84.359,84.242,84.098,79.418,82.331,84.016,84.041,..
Angola,AGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,57.242,58.093,58.916,59.705,60.396,61.042,61.619,62.122,62.622,63.051,63.116,62.958,64.246,64.617,..
Antigua and Barbuda,ATG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.701,77.023,77.1,77.05,76.912,76.892,76.968,77.03,77.132,77.168,77.161,77.197,77.483,77.598,..
Arab World,ARB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.8073221,69.36333769,69.8423166,70.19210585,70.53506663,70.65801237,70.89648812,71.11285601,71.43129979,71.83989327,70.72655881,70.40411449,71.8760956,72.44467836,..
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.68,76.1,75.802,75.829,76.268,76.6,76.105,76.543,76.77,76.847,75.878,73.948,75.806,77.395,..
Armenia,ARM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.17317073,73.81707317,74.1195122,74.62195122,74.87317073,74.87073171,74.86829268,75.21707317,75.6195122,76.22195122,73.37560976,72.27804878,74.76585366,77.46585366,..
Aruba,ABW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.297,74.578,74.841,75.072,75.261,75.405,75.54,75.62,75.88,76.019,75.406,73.655,76.226,76.353,..
Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.69512195,81.89512195,82.04634146,82.14878049,82.3,82.4,82.44878049,82.5,82.74878049,82.9,83.2,83.3,83.2,83.05121951,..
Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.5804878,80.98292683,80.93658537,81.13658537,81.4902439,81.1902439,81.64146341,81.64390244,81.69268293,81.89512195,81.19268293,81.1902439,81.29512195,81.54146341,..
Azerbaijan,AZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.309,70.565,71.08,71.485,71.93,72.349,72.568,72.694,73.016,73.29,70.312,70.999,74.125,74.429,..
"Bahamas, The",BHS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.449,73.571,73.707,73.93,74.029,73.805,74.042,74.031,74.062,71.408,72.994,70.752,74.491,74.552,..
Bahrain,BHR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.593,79.141,79.622,79.998,80.214,80.338,80.407,80.407,80.412,80.471,78.683,78.083,80.992,81.284,..
Bangladesh,BGD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.009,68.499,68.989,69.487,70.016,70.543,71.075,71.606,72.122,72.625,71.421,71.103,74.265,74.672,..
Barbados,BRB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.488,75.599,75.737,75.816,75.926,76.055,76.168,76.237,76.378,76.495,76.647,76.58,75.676,76.178,..
Belarus,BLR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.40487805,70.55365854,71.96585366,72.47073171,72.97073171,73.62439024,73.82682927,74.12926829,74.17560976,74.22682927,72.13856098,72.07146341,74.10336585,74.18378049,..
Belgium,BEL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.18292683,80.58536585,80.38536585,80.58780488,81.28780488,80.99268293,81.43902439,81.49268293,81.59512195,81.99512195,80.69512195,81.7902439,81.74878049,82.39756098,..
Belize,BLZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.875,70.975,71.134,71.276,71.437,71.647,71.843,72.062,72.322,72.577,71.58,70.917,72.19,73.566,..
Benin,BEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,58.387,58.462,58.559,58.863,59.008,59.123,59.283,59.528,59.71,59.888,60.154,59.61,60.475,60.774,..
Bermuda,BMU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.414,79.651,79.847,80.016,80.199,80.338,80.476,80.686,80.986,81.251,81.456,81.745,82.062,82.309,..
Bhutan,BTN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.765,69.28,69.759,70.161,70.504,70.797,71.119,71.413,71.711,72.005,72.253,72.448,72.754,72.975,..
Bolivia,BOL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.003,66.282,66.586,66.777,66.97,67.205,67.392,67.536,67.699,67.82,62.906,61.427,67.434,68.581,..
Bosnia and Herzegovina,BIH,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.827,76.963,77.037,77.129,77.089,77.073,77.124,77.385,77.942,77.394,76.04,74.567,76.777,77.85,..
Botswana,BWA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,59.137,59.715,60.384,61.217,62.167,63.215,64.32,65.42,66.371,67.167,67.643,63.303,68.749,69.163,..
Brazil,BRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.779,74.047,74.335,74.609,74.823,75.106,75.081,75.383,75.633,75.809,74.506,73.038,74.872,75.848,..
