Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
World,WLD,Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,165.879113,180.4107555,184.1944618,188.5431477,189.4074585,178.8031567,179.7271415,185.0957856,192.6736212,194.559298,189.5899208,212.3420512,213.4010748,..,..
World,WLD,Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,18.42721845,18.51808859,18.74484354,18.98893808,18.64599224,18.35470316,18.11641472,17.99250958,18.02748316,17.90105256,16.32785547,17.00043192,17.23373824,..,..
World,WLD,"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,229.2992209,236.9497698,249.2702984,262.1639575,264.9712222,271.1095968,279.4437622,281.6058337,292.7240792,305.1018825,303.8685294,330.2554688,352.3026297,..,..
Afghanistan,AFG,Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,36.67371379,38.22983107,39.06985734,40.46239344,43.86972469,46.96636207,46.62723365,50.44039361,54.28991757,56.89493912,59.91792599,62.94576762,62.86481346,..,..
Afghanistan,AFG,Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,78.9966507,73.25517273,74.48620605,72.04785919,73.05592346,78.3822937,75.97433472,75.48258209,76.22302246,76.818367,74.81396484,77.21405029,77.94615173,..,..
Afghanistan,AFG,"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,117.1239995,107.5711069,115.3846065,127.971477,147.4201754,168.699226,181.3847901,199.4299637,228.1907722,246.4540517,242.8963146,278.5561775,298.617374,..,..
Africa Eastern and Southern,AFE,Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,17.60925131,18.35819502,18.35385753,19.87597483,17.79659171,17.79015893,16.58177943,15.34388931,13.64262593,13.51493807,12.58741361,13.46545185,15.0779477,..,..
Africa Eastern and Southern,AFE,Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,17.5147331,17.04999214,16.83733927,18.97971174,18.07924233,19.60202909,19.31324472,17.05577697,15.15592328,15.49053379,15.4409797,14.58008986,16.28988502,..,..
Africa Eastern and Southern,AFE,"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,39.26606721,39.73275654,39.07182714,43.75975666,40.00219622,42.55129574,44.51015634,40.81676989,37.08164666,37.87776196,35.63802141,36.2354635,39.30646436,..,..
Africa Western and Central,AFW,Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,38.8987319,41.50379479,42.79385842,46.69680191,49.1329298,43.64806641,38.72769943,37.04439612,35.03740126,35.01037162,37.38793028,43.38832055,45.3018654,..,..
Africa Western and Central,AFW,Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,65.23132037,63.49335095,62.99739838,61.91348745,62.41097104,61.76329183,63.02506792,63.62664025,62.42825911,59.26976739,58.04910072,60.06044194,60.87213021,..,..
Africa Western and Central,AFW,"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,81.68561182,82.26623305,82.00826503,86.27205212,90.93111773,93.3722722,94.34364161,95.71689351,84.94908876,82.59405547,93.30417486,111.2346345,122.2145422,..,..
Albania,ALB,Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,152.3051704,163.8164001,151.7504057,159.3757596,173.4744333,145.6072443,155.6699106,168.9825158,197.0062007,206.6606267,235.3124919,277.9652664,212.3981048,..,..
Albania,ALB,Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,59.96680832,59.84096909,58.21257782,57.72882462,59.18069077,57.34070206,56.51747894,57.18074036,56.41461563,56.41222382,59.39613342,59.70423508,51.26052094,..,..
