Country Name,Country Code,Year,US dollars/capita
United States,USA,2010,1146.495
Greece,GRC,2010,963.584
Canada,CAN,2010,911.49
France,FRA,2010,884.065
Germany,DEU,2010,870.773
Italy,ITA,2010,749.844
Japan,JPN,2010,743.527
Belgium,BEL,2010,737.025
Austria,AUT,2010,703.453
Ireland,IRL,2010,676.033
Slovak Rep.,SVK,2010,670.996
Australia,AUS,2010,667.623
Iceland,ISL,2010,654.65
Spain,ESP,2010,627.172
Switzerland,CHE,2010,605.117
Czechia,CZE,2010,585.922
Finland,FIN,2010,583.382
Hungary,HUN,2010,554.441
Sweden,SWE,2010,551.184
Netherlands,NLD,2010,548.021
Luxembourg,LUX,2010,543.883
Portugal,PRT,2010,495.831
Korea,KOR,2010,461.662
Slovenia,SVN,2010,458.791
Norway,NOR,2010,456.341
Poland,POL,2010,432.949
Denmark,DNK,2010,429.254
Lithuania,LTU,2010,366.503
Estonia,EST,2010,355.109
Latvia,LVA,2010,350.903
Israel,ISR,2010,309.082
Mexico,MEX,2010,221.298
United States,USA,2011,1137.776
Canada,CAN,2011,895.448
France,FRA,2011,868.777
Germany,DEU,2011,831.312
Japan,JPN,2011,786.639
Italy,ITA,2011,725.849
Belgium,BEL,2011,722.886
Greece,GRC,2011,709.328
Hungary,HUN,2011,706.004
Austria,AUT,2011,704.18
Australia,AUS,2011,675.096
Ireland,IRL,2011,652.043
Slovak Rep.,SVK,2011,631.698
Iceland,ISL,2011,622.964
Switzerland,CHE,2011,612.884
Spain,ESP,2011,588.917
Czechia,CZE,2011,584.016
Netherlands,NLD,2011,542.048
Sweden,SWE,2011,539.934
Luxembourg,LUX,2011,518.279
Norway,NOR,2011,490.532
Korea,KOR,2011,473.034
Slovenia,SVN,2011,464.769
Portugal,PRT,2011,449.737
Finland,FIN,2011,448.472
Poland,POL,2011,432.501
Denmark,DNK,2011,410.29
Lithuania,LTU,2011,386.597
Latvia,LVA,2011,355.441
Estonia,EST,2011,343.348
Israel,ISR,2011,308.51
Mexico,MEX,2011,204.143
Costa Rica,CRI,2011,203.094
United States,USA,2012,1128.092
Canada,CAN,2012,886.353
France,FRA,2012,853.605
Germany,DEU,2012,829.826
Japan,JPN,2012,810.172
Austria,AUT,2012,702.793
Belgium,BEL,2012,684.539
Australia,AUS,2012,674.82
Ireland,IRL,2012,661.111
Luxembourg,LUX,2012,650.778
Switzerland,CHE,2012,641.912
Hungary,HUN,2012,635.755
Italy,ITA,2012,635.692
Greece,GRC,2012,622.251
Iceland,ISL,2012,587.177
Finland,FIN,2012,565.535
Slovak Rep.,SVK,2012,556.726
Spain,ESP,2012,547.647
Sweden,SWE,2012,542.34
Slovenia,SVN,2012,489.476
Norway,NOR,2012,487.991
Netherlands,NLD,2012,482.012
Korea,KOR,2012,478.455
Czechia,CZE,2012,456.196
Lithuania,LTU,2012,453.608
Portugal,PRT,2012,413.087
Poland,POL,2012,399.776
Denmark,DNK,2012,391.297
Latvia,LVA,2012,361.71
Estonia,EST,2012,361.672
Israel,ISR,2012,315.171
Mexico,MEX,2012,225.511
Costa Rica,CRI,2012,195.992
United States,USA,2013,1119.81
Canada,CAN,2013,866.009
France,FRA,2013,841.482
Germany,DEU,2013,835.339
Japan,JPN,2013,824.674
Austria,AUT,2013,693.29
Belgium,BEL,2013,677.544
Switzerland,CHE,2013,674.697
Greece,GRC,2013,654.655
Australia,AUS,2013,639.114
Italy,ITA,2013,635.347
Ireland,IRL,2013,602.956
Hungary,HUN,2013,599.98
Slovak Rep.,SVK,2013,592.292
Luxembourg,LUX,2013,565.568
Finland,FIN,2013,564.682
Czechia,CZE,2013,564.224
Iceland,ISL,2013,552.488
Spain,ESP,2013,551.351
Sweden,SWE,2013,534.222
United Kingdom,GBR,2013,531.963
Slovenia,SVN,2013,501.439
Norway,NOR,2013,485.398
Lithuania,LTU,2013,467.828
Korea,KOR,2013,465.903
